   9.964787e-01   55    1    3    2    4    4    1    2     3     4     0
   9.963663e-01   51    1    3    1    4    4    1    2     3     4     0
   9.822481e-01   54    0    2    2    4    4    1    2     3     4     0
   9.813652e-01   49    0    1    1    4    4    1    2     3     4     0
   9.246099e-01    5   -1    1    2    1    4    1    2     3     4     0
   9.245745e-01   18   -1    2    1    2    4    1    2     3     4     0
   9.239203e-01    6   -3    2    2    1    4    1    2     3     4     0
   9.239203e-01   17    0    1    1    2    4    1    2     3     4     0
   9.239203e-01   35   -1    3    1    3    4    1    2     3     4     0
  9.239203e-01   39   -1    3    2    3    4    1    2     3     4     0
  9.239203e-01   52   -1    4    1    4    4    1    2     3     4     0
  9.239203e-01   56   -1    4    2    4    4    1    2     3     4     0
  9.226601e-01   60   -1    4    3    4    4    1    2     3     4     0
  9.226601e-01   63    2    3    4    4    4    1    2     3     4     0
  1.650036e-02   53    1    1    2    4    4    1    2     3     4     0
  1.565288e-02   50    1    2    1    4    4    1    2     3     4     0
  1.500110e-02   57    1    1    3    4    4    1    2     3     4     0
  1.500110e-02   61    2    1    4    4    4    1    2     3     4     0
  1.423063e-02   58    1    2    3    4    4    1    2     3     4     0
  1.423063e-02   62    2    2    4    4    4    1    2     3     4     0
  6.895551e-04    9   -1    1    3    1    4    1    2     3     4     0
  6.895551e-04   13   -1    1    4    1    4    1    2     3     4     0
  6.541389e-04   26   -1    2    3    2    4    1    2     3     4     0
  6.541389e-04   30   -1    2    4    2    4    1    2     3     4     0
 9.064920e-248   38    0    2    2    3    4    1    2     3     4     0
 9.064920e-248   40    1    4    2    3    4    1    2     3     4     0
 8.765598e-248   19    1    3    1    2    4    1    2     3     4     0
 8.765598e-248   20    1    4    1    2    4    1    2     3     4     0
 8.765598e-248   36    1    4    1    3    4    1    2     3     4     0
 8.765598e-248    2    2    2    1    1    4    1    2     3     4     0
 8.765598e-248    3    2    3    1    1    4    1    2     3     4     0
 8.765598e-248    4    2    4    1    1    4    1    2     3     4     0
 8.765598e-248   34    1    2    1    3    4    1    2     3     4     0
 1.349792e-263   33    0    1    1    3    4    1    2     3     4     0
 1.307440e-263   21    2    1    2    2    4    1    2     3     4     0
 1.307440e-263   23    2    3    2    2    4    1    2     3     4     0
 1.307440e-263   24    2    4    2    2    4    1    2     3     4     0
 1.307440e-263   37    1    1    2    3    4    1    2     3     4     0
 3.718183e-266   47   -1    3    4    3    4    1    2     3     4     0
  0.000000e+00    1    4    1    1    1    4    1    2     3     4     0
  0.000000e+00    7    1    3    2    1    4    1    2     3     4     0
  0.000000e+00    8    1    4    2    1    4    1    2     3     4     0
  0.000000e+00   10    1    2    3    1    4    1    2     3     4     0
  0.000000e+00   11   -3    3    3    1    4    1    2     3     4     0
  0.000000e+00   12    1    4    3    1    4    1    2     3     4     0
  0.000000e+00   14    1    2    4    1    4    1    2     3     4     0
  0.000000e+00   15    1    3    4    1    4    1    2     3     4     0
  0.000000e+00   16   -3    4    4    1    4    1    2     3     4     0
  0.000000e+00   22    4    2    2    2    4    1    2     3     4     0
  0.000000e+00   25    1    1    3    2    4    1    2     3     4     0
  0.000000e+00   27   -3    3    3    2    4    1    2     3     4     0
  0.000000e+00   28    1    4    3    2    4    1    2     3     4     0
  0.000000e+00   29    1    1    4    2    4    1    2     3     4     0
  0.000000e+00   31    1    3    4    2    4    1    2     3     4     0
  0.000000e+00   32   -3    4    4    2    4    1    2     3     4     0
  0.000000e+00   41    2    1    3    3    4    1    2     3     4     0
  0.000000e+00   42    2    2    3    3    4    1    2     3     4     0
  0.000000e+00   43    4    3    3    3    4    1    2     3     4     0
  0.000000e+00   44    2    4    3    3    4    1    2     3     4     0
  0.000000e+00   45    1    1    4    3    4    1    2     3     4     0
  0.000000e+00   46    1    2    4    3    4    1    2     3     4     0
  0.000000e+00   48   -3    4    4    3    4    1    2     3     4     0
  0.000000e+00   59    0    3    3    4    4    1    2     3     4     0
  0.000000e+00   64    4    4    4    4    4    1    2     3     4     0
